Nombre,Apellido,team_name,Posicion,opponent_name,is_home,Precio,form,difficulty,valor,tendencia,volatilidad,rendimiento_ajustado
Virgil,van Dijk,Liverpool,Defender,Man Utd,True,61,5.0,1125,0.819672131147541,0,2.7945525240230875,0.29331069074612576
Sven,Botman,Newcastle,Defender,Brighton,False,49,4.0,1150,0.8163265306122448,0,3.5923198500080566,0.2272421623621332
Riccardo,Calafiori,Arsenal,Defender,Fulham,False,57,4.6,1125,0.8070175438596491,0,5.0990195135927845,0.15826916169046432
Jarrod,Bowen,West Ham,Forward,Brentford,True,77,6.2,1185,0.8051948051948052,0,3.7416573867739413,0.21519736361779626
Martin,Dúbravka,Burnley,Goalkeeper,Leeds,True,40,3.2,1075,0.8,0,1.6761634196950517,0.47728043137079434
Ibrahima,Konaté,Liverpool,Defender,Man Utd,True,55,4.4,1125,0.8,0,3.2071349029490928,0.24944382578492943
Jordan,Henderson,Brentford,Midfielder,West Ham,False,50,4.0,1100,0.8,0,2.1157009420498154,0.3781252747493287
Quilindschy,Hartman,Burnley,Defender,Leeds,True,40,3.2,1075,0.8,0,1.8257418583505538,0.4381780460041329
Ismaïla,Sarr,Crystal Palace,Midfielder,Bournemouth,True,65,5.2,1180,0.8,1,4.220133150686577,0.18956747842656277
Alex,Iwobi,Fulham,Midfielder,Arsenal,True,65,5.2,1325,0.8,0,4.3094580368566735,0.18563819235690285
Igor Thiago,Nascimento Rodrigues,Brentford,Forward,West Ham,False,61,4.8,1100,0.7868852459016393,1,4.2370250120079485,0.18571645049806546
Wilson,Isidor,Sunderland,Forward,Wolves,True,56,4.4,1125,0.7857142857142858,0,3.366501646120693,0.2333919208445018
Dean,Henderson,Crystal Palace,Goalkeeper,Bournemouth,True,50,3.8,1180,0.76,0,2.410295378065479,0.31531405109774624
Yehor,Yarmoliuk,Brentford,Midfielder,West Ham,False,50,3.8,1100,0.76,0,1.9760470401187074,0.3846062287840802
Jérémy,Doku,Man City,Midfielder,Everton,True,66,5.0,1115,0.7575757575757576,0,4.099941927579439,0.18477719220355446
Tyrone,Mings,Aston Villa,Defender,Spurs,False,45,3.4,1130,0.7555555555555555,0,3.251373336211726,0.23238043664215943
Caoimhín,Kelleher,Brentford,Goalkeeper,West Ham,False,45,3.4,1100,0.7555555555555555,0,2.6457513110645907,0.2855731573847494
Jack,Grealish,Everton,Midfielder,Man City,False,69,5.2,1275,0.7536231884057971,0,4.750939756661683,0.15862613019857388
Idrissa Gana,Gueye,Everton,Midfielder,Man City,False,54,4.0,1275,0.7407407407407407,0,2.9358214555806383,0.25231123620705304
Dominik,Szoboszlai,Liverpool,Midfielder,Man Utd,True,65,4.8,1125,0.7384615384615384,0,4.2594432902501635,0.1733704355571236
Santiago,Ignacio Bueno,Wolves,Defender,Sunderland,False,44,3.2,1050,0.7272727272727273,0,4.353433237386437,0.1670572827503247
Marcus,Tavernier,Bournemouth,Midfielder,Crystal Palace,False,55,4.0,1140,0.7272727272727273,0,3.2877840272018797,0.22120453206644605
Lyle,Foster,Burnley,Forward,Leeds,True,50,3.6,1075,0.72,0,2.0816659994661326,0.3458768122189882
Alex,Scott,Bournemouth,Midfielder,Crystal Palace,False,50,3.6,1140,0.72,0,2.6367367999823097,0.273064797368031
Kiernan,Dewsbury-Hall,Everton,Midfielder,Man City,False,50,3.6,1275,0.72,0,4.099941927579439,0.17561224347025814
Michael,Kayode,Brentford,Defender,West Ham,False,45,3.2,1100,0.7111111111111111,0,3.251373336211726,0.21871099919262066
Calvin,Bassey,Fulham,Defender,Arsenal,True,45,3.2,1325,0.7111111111111111,0,3.101458950082625,0.2292827738674944
Declan,Rice,Arsenal,Midfielder,Fulham,False,65,4.6,1125,0.7076923076923076,0,3.450327796711771,0.20510871702298897
Enzo,Le Fée,Sunderland,Midfielder,Wolves,True,49,3.4,1125,0.693877551020408,0,3.7161167647860327,0.1867211379350617
Alisson,Becker,Liverpool,Goalkeeper,Man Utd,True,55,3.8,1125,0.6909090909090909,0,2.9680841985233184,0.23277947817411382
Pape Matar,Sarr,Spurs,Midfielder,Aston Villa,True,50,3.4,1250,0.6799999999999999,0,2.819996622760558,0.24113504055701054
Erling,Haaland,Man City,Forward,Everton,True,145,9.8,1115,0.6758620689655173,1,4.546060565661952,0.14866983384923405
Lucas,Bergvall,Spurs,Midfielder,Aston Villa,True,54,3.6,1250,0.6666666666666666,0,3.785938897200183,0.17609018126512474
Djed,Spence,Spurs,Defender,Aston Villa,True,45,3.0,1250,0.6666666666666666,0,2.581988897471611,0.2581988897471611
Pascal,Struijk,Leeds,Defender,Burnley,False,45,3.0,1050,0.6666666666666666,0,2.819996622760558,0.2364069025068731
Sepp,van den Berg,Brentford,Defender,West Ham,False,45,3.0,1100,0.6666666666666666,0,2.410295378065479,0.2765912728927598
Nathan,Collins,Brentford,Defender,West Ham,False,49,3.2,1100,0.6530612244897959,-1,3.101458950082625,0.21056581273545402
Lamare,Bogarde,Aston Villa,Defender,Spurs,False,40,2.6,1130,0.65,0,3.132015933791495,0.20753406551579567
Gabriel,Gudmundsson,Leeds,Defender,Burnley,False,40,2.6,1050,0.65,0,4.191828786034631,0.15506358517445182
Maxime,Estève,Burnley,Defender,Leeds,True,40,2.6,1075,0.65,0,2.6726124191242437,0.2432077301403062
Emiliano,Buendía Stati,Aston Villa,Midfielder,Spurs,False,53,3.4,1130,0.6415094339622641,0,4.27617987059879,0.15001928201687972
Jake,O'Brien,Everton,Defender,Man City,False,50,3.2,1275,0.64,0,2.2886885410853175,0.27963612720169695
Daichi,Kamada,Crystal Palace,Midfielder,Bournemouth,True,50,3.2,1180,0.64,0,2.340126166724879,0.27348952765897716
Harry,Maguire,Man Utd,Defender,Liverpool,False,44,2.8,1335,0.6363636363636362,0,3.8606685826112948,0.16483249539467332
Dango,Ouattara,Brentford,Midfielder,West Ham,False,60,3.8,1100,0.6333333333333333,0,4.6084807950229365,0.13742779052422657
David,Raya Martín,Arsenal,Goalkeeper,Fulham,False,57,3.6,1125,0.631578947368421,1,3.0237157840738176,0.20887510350509927
Sandro,Tonali,Newcastle,Midfielder,Brighton,False,54,3.4,1150,0.6296296296296295,0,1.2535663410560176,0.5022706888406264
Jayden,Bogle,Leeds,Defender,Burnley,False,45,2.8,1050,0.6222222222222222,0,2.4299715851758235,0.2560615218787427
Lucas,Digne,Aston Villa,Defender,Spurs,False,45,2.8,1130,0.6222222222222222,0,2.23606797749979,0.27826623719997384
Tijjani,Reijnders,Man City,Midfielder,Everton,True,58,3.6,1115,0.6206896551724138,0,3.5050983275386565,0.17708195239369315
Yasin,Ayari,Brighton,Midfielder,Newcastle,True,49,3.0,1245,0.6122448979591836,0,2.340126166724879,0.26162901242886843
Nico,O'Reilly,Man City,Defender,Everton,True,49,3.0,1115,0.6122448979591836,0,2.734262327610589,0.22391593219740943
Pedro,Porro Sauceda,Spurs,Defender,Aston Villa,True,56,3.4,1250,0.6071428571428572,0,2.4299715851758235,0.24985594928219157
Saša,Lukić,Fulham,Midfielder,Arsenal,True,50,3.0,1325,0.6,0,1.9023794624226837,0.31539448982270807
Bernd,Leno,Fulham,Goalkeeper,Arsenal,True,50,3.0,1325,0.6,0,2.410295378065479,0.24893214560348384
Keane,Lewis-Potter,Brentford,Defender,West Ham,False,50,3.0,1100,0.6,0,2.563479777846623,0.23405684928164816
Kieran,Trippier,Newcastle,Defender,Brighton,False,50,3.0,1150,0.6,0,3.38765264987284,0.1771137899933518
Brajan,Gruda,Brighton,Midfielder,Newcastle,True,54,3.2,1245,0.5925925925925926,0,2.563479777846623,0.23116725854977596
Konstantinos,Mavropanos,West Ham,Defender,Brentford,True,44,2.6,1185,0.5909090909090908,0,2.138089935299395,0.27637242061398426
Mikkel,Damsgaard,Brentford,Midfielder,West Ham,False,58,3.4,1100,0.5862068965517241,0,2.870208222079931,0.2042384563050698
Neco,Williams,Nott'm Forest,Defender,Chelsea,True,48,2.8,1245,0.5833333333333334,-1,3.532165125838609,0.16514894195237773
Dominic,Calvert-Lewin,Leeds,Forward,Burnley,False,55,3.2,1050,0.5818181818181819,0,4.0,0.14545454545454548
Emmanuel,Agbadou,Wolves,Defender,Sunderland,False,45,2.6,1050,0.5777777777777778,0,1.632993161855452,0.3538151850686813
Kenny,Tete,Fulham,Defender,Arsenal,True,45,2.6,1325,0.5777777777777778,0,2.0354009783964297,0.2838643510100768
Matheus,Nunes,Man City,Defender,Everton,True,53,3.0,1115,0.5660377358490566,0,4.320493798938574,0.13101227826970066
Mitoma,Kaoru,Brighton,Midfielder,Newcastle,True,64,3.6,1245,0.5625,0,2.340126166724879,0.2403716551690229
Matthijs,de Ligt,Man Utd,Defender,Liverpool,False,50,2.8,1335,0.5599999999999999,0,2.811540841738193,0.19917903794482614
Emiliano,Martínez Romero,Aston Villa,Goalkeeper,Spurs,False,50,2.8,1130,0.5599999999999999,0,2.1157009420498154,0.26468769232453004
Ladislav,Krejcí,Wolves,Defender,Sunderland,False,45,2.5,1050,0.5555555555555556,0,2.701851217221259,0.20562033616600148
John,McGinn,Aston Villa,Midfielder,Spurs,False,54,3.0,1130,0.5555555555555555,0,1.4142135623730951,0.392837100659193
Fabian,Schär,Newcastle,Defender,Brighton,False,54,3.0,1150,0.5555555555555555,0,3.8606685826112948,0.1439013848683656
Elliot,Anderson,Nott'm Forest,Midfielder,Chelsea,True,54,3.0,1245,0.5555555555555555,0,1.6761634196950517,0.331444744007496
Maximilian,Kilman,West Ham,Defender,Brentford,True,44,2.4,1185,0.5454545454545454,0,2.1157009420498154,0.25781268732908774
Francisco Evanilson,de Lima Barbosa,Bournemouth,Forward,Crystal Palace,False,70,3.8,1140,0.5428571428571428,0,2.4784787961282104,0.21902835872760926
Florentino Ibrain,Morris Luís,Burnley,Midfielder,Leeds,True,50,2.6666666666666665,1075,0.5333333333333333,0,1.4142135623730951,0.37712361663282534
Lewis,Dunk,Brighton,Defender,Newcastle,True,45,2.4,1245,0.5333333333333333,0,1.4638501094227998,0.36433602723411906
Richarlison,de Andrade,Spurs,Forward,Aston Villa,True,68,3.6,1250,0.5294117647058824,0,4.649628761422531,0.11386108265209359
Gianluigi,Donnarumma,Man City,Goalkeeper,Everton,True,57,3.0,1115,0.5263157894736842,1,2.6299556396765835,0.20012344753404562
Chemsdine,Talbi,Sunderland,Midfielder,Wolves,True,50,2.6,1125,0.52,0,1.5735915849388864,0.33045423283716613
Adam,Wharton,Crystal Palace,Midfielder,Bournemouth,True,50,2.6,1180,0.52,0,2.214669705568283,0.2347979920854917
Ryan,Sessegnon,Fulham,Midfielder,Arsenal,True,54,2.8,1325,0.5185185185185185,0,2.9277002188455996,0.17710779101658564
Bruno,Borges Fernandes,Man Utd,Midfielder,Liverpool,False,90,4.6,1335,0.5111111111111111,0,4.281744192888377,0.11936983810476683
Callum,Hudson-Odoi,Nott'm Forest,Midfielder,Chelsea,True,59,3.0,1245,0.5084745762711864,-1,3.3094381626464866,0.15364377615823777
Danny,Welbeck,Brighton,Forward,Newcastle,True,63,3.2,1245,0.507936507936508,0,3.779644730092272,0.1343873681810586
Mohammed,Kudus,Spurs,Midfielder,Aston Villa,True,67,3.4,1250,0.5074626865671642,0,4.117326918327103,0.12325052069786814
Cody,Gakpo,Liverpool,Midfielder,Man Utd,True,75,3.8,1125,0.5066666666666666,0,3.3022358947782493,0.15343139703249156
Viktor,Gyökeres,Arsenal,Forward,Fulham,False,91,4.6,1125,0.5054945054945055,1,4.029651999626672,0.12544371214718716
Maxim,De Cuyper,Brighton,Defender,Newcastle,True,44,2.2,1245,0.5,0,2.7688746209726913,0.18057877962865382
Tosin,Adarabioyo,Chelsea,Defender,Nott'm Forest,False,44,2.2,1165,0.5,0,2.9358214555806383,0.1703100844397608
Harry,Wilson,Fulham,Midfielder,Arsenal,True,53,2.6,1325,0.4905660377358491,0,3.055050463303893,0.16057542866422084
Sander,Berge,Fulham,Midfielder,Arsenal,True,49,2.4,1325,0.4897959183673468,-1,0.7559289460184544,0.6479390965872466
Ezri,Konsa Ngoyo,Aston Villa,Defender,Spurs,False,45,2.2,1130,0.4888888888888889,0,1.889822365046136,0.25869568374853774
Jacob,Murphy,Newcastle,Midfielder,Brighton,False,62,3.0,1150,0.4838709677419354,0,1.9880595947760098,0.2433885629049526
Hugo,Ekitiké,Liverpool,Forward,Man Utd,True,87,4.2,1125,0.4827586206896552,0,4.46147530585589,0.10820605015027483
Brenden,Aaronson,Leeds,Midfielder,Burnley,False,54,2.6,1050,0.4814814814814814,0,1.889822365046136,0.25477605217659016
David,Brooks,Bournemouth,Midfielder,Crystal Palace,False,50,2.4,1140,0.48,0,1.2724180205607034,0.37723451903682037
Tyler,Adams,Bournemouth,Midfielder,Crystal Palace,False,50,2.4,1140,0.48,0,1.1338934190276817,0.42332020977033447
Crysencio,Summerville,West Ham,Midfielder,Brentford,True,55,2.6,1185,0.4727272727272727,0,2.380476142847616,0.19858517555306324
Noah,Okafor,Leeds,Midfielder,Burnley,False,55,2.6,1050,0.4727272727272727,0,3.5637059362410923,0.13265047149931053
Bryan,Mbeumo,Man Utd,Midfielder,Liverpool,False,81,3.8,1335,0.4691358024691358,0,3.0783421635988546,0.15239884897027642
Kevin,Schade,Brentford,Midfielder,West Ham,False,70,3.2,1100,0.4571428571428572,0,2.370453040886408,0.1928504168856739
Kyle,Walker-Peters,West Ham,Defender,Brentford,True,44,2.0,1185,0.4545454545454545,0,1.9880595947760098,0.22863774091071304
Jean-Philippe,Mateta,Crystal Palace,Forward,Bournemouth,True,75,3.4,1180,0.4533333333333333,0,1.8644544714716087,0.24314529545766733
Norberto Bercique,Gomes Betuncal,Everton,Forward,Man City,False,53,2.4,1275,0.4528301886792453,-1,2.2677868380553634,0.19967934423128986
James,Hill,Bournemouth,Defender,Crystal Palace,False,40,1.8,1140,0.45,0,2.2886885410853175,0.19661915193869314
Loum,Tchaouna,Burnley,Midfielder,Leeds,True,49,2.2,1075,0.4489795918367347,0,0.8997354108424375,0.49901291693782235
Malick,Thiaw,Newcastle,Defender,Brighton,False,49,2.2,1150,0.4489795918367347,0,3.450327796711771,0.13012664833312965
Leny,Yoro,Man Utd,Defender,Liverpool,False,45,2.0,1335,0.4444444444444444,0,2.410295378065479,0.18439418192850657
Cristhian,Mosquera,Arsenal,Defender,Fulham,False,54,2.4,1125,0.4444444444444444,0,2.4299715851758235,0.18290108705624478
João Victor,Gomes da Silva,Wolves,Midfielder,Sunderland,False,54,2.4,1050,0.4444444444444444,0,1.1338934190276817,0.3919631571947541
Marshall,Munetsi,Wolves,Midfielder,Sunderland,False,54,2.4,1050,0.4444444444444444,0,1.9760470401187074,0.22491592326554394
Mikel,Merino Zazón,Arsenal,Midfielder,Fulham,False,59,2.6,1125,0.4406779661016949,0,2.0354009783964297,0.21650670839751615
Rúben,dos Santos Gato Alves Dias,Man City,Defender,Everton,True,55,2.4,1115,0.4363636363636363,0,3.132015933791495,0.1393235684581565
Dan,Ndoye,Nott'm Forest,Midfielder,Chelsea,True,60,2.6,1245,0.4333333333333333,0,3.2071349029490923,0.13511540563350344
Pedro,Lomba Neto,Chelsea,Midfielder,Nott'm Forest,False,70,3.0,1165,0.4285714285714285,0,1.9518001458970664,0.2195775164134199
Phil,Foden,Man City,Midfielder,Everton,True,81,3.4,1115,0.4197530864197531,0,4.220133150686576,0.09946441769294963
Joško,Gvardiol,Man City,Defender,Everton,True,58,2.4,1115,0.4137931034482758,0,4.429339411136565,0.09342095175815321
Milos,Kerkez,Liverpool,Defender,Man Utd,True,58,2.4,1125,0.4137931034482758,-1,2.2677868380553634,0.1824656076596269
